appid,release_year,Priece,user_score,meta_score
10,2000,$1.99,97%,88%
20,1999,$0.99,85%,
30,2003,$0.99,90%,79%
40,2001,$0.99,81%,
50,1999,$0.99,95%,
60,2000,$0.99,81%,
70,1998,$1.99,96%,96%
80,2004,$1.99,91%,65%
130,2001,$0.99,91%,71%
220,2004,$1.99,97%,96%
240,2004,$1.99,96%,88%
280,2004,$1.99,72%,
300,2010,$1.99,91%,80%
320,2004,$0.99,90%,
340,2005,,88%,
360,2006,$1.99,74%,
380,2006,$1.59,95%,87%
400,2007,$1.99,98%,90%
420,2007,$1.59,96%,90%
440,2007,,93%,92%
500,2008,$1.99,96%,89%
550,2009,$1.99,97%,89%
570,2013,,83%,90%
620,2011,$0.49,98%,95%
630,2010,,94%,77%
730,2012,,88%,83%
1002,2005,$0.99,71%,69%
1200,2006,$2.49,86%,81%
1250,2009,$4.99,94%,72%
1300,2006,$2.49,89%,75%
1309,2006,$2.49,87%,75%
1313,1998,$2.49,86%,
1500,2005,$1.99,78%,84%
1510,2006,$1.99,91%,75%
1520,2006,$1.99,86%,84%
1530,2008,$1.99,81%,76%
1600,2006,$2.99,76%,82%
1610,2006,$1.99,83%,79%
1630,2006,$1.39,85%,80%
1640,2006,$1.39,80%,84%
1670,2006,$0.74,61%,56%
1690,2006,$2.99,70%,68%
1700,2002,$1.49,87%,77%
1840,2012,,93%,
1900,2006,$1.99,70%,73%
1930,2009,$2.49,75%,65%
2100,2006,$2.49,91%,72%
2200,2007,$5.99,95%,
2210,2005,$5.99,87%,81%
2270,1994,$1.49,94%,
2280,2007,$1.24,96%,
2290,1996,$1.24,85%,
2300,1994,$1.24,94%,83%
2310,1996,$3.99,95%,94%
2320,1997,$1.99,91%,
2330,1998,$1.19,81%,
2340,1998,$1.19,59%,
2350,2007,$5.99,80%,69%
2360,1995,$1.49,88%,
2370,1996,$1.49,78%,
2390,2007,$1.49,94%,
2400,2006,$2.49,85%,76%
2420,2006,$2.49,70%,
2450,2010,$0.99,77%,73%
2500,2006,$1.04,80%,74%
2520,2006,$2.49,50%,69%
2540,2007,$4.99,58%,
2570,2007,,20%,61%
2590,2007,$0.99,54%,59%
2600,2004,$9.99,94%,80%
2610,2005,$6.59,90%,76%
2620,2003,$9.99,94%,91%
2630,2006,$14.99,93%,86%
2640,2004,$14.99,86%,87%
2700,2006,,91%,81%
2710,2005,$1.19,88%,82%
2720,2007,$0.49,,
2780,2007,$1.59,68%,74%
2800,2003,$0.99,83%,72%
2810,2005,$1.99,71%,71%
2820,2008,$3.19,85%,73%
2840,1999,$0.99,73%,67%
2850,2000,$0.99,73%,
2870,2013,$14.99,42%,33%
2900,1997,$1.99,75%,
2910,1999,$1.99,84%,
2920,2006,$1.99,74%,84%
2990,2006,$1.99,95%,76%
3010,2006,$0.99,80%,82%
3020,2007,$1.99,81%,72%
3050,2006,$0.99,74%,
3130,2009,$0.99,84%,77%
3170,2009,$2.49,91%,82%
3230,2007,$1.24,27%,57%
3260,2006,$0.64,58%,69%
3270,2007,$0.99,74%,65%
3300,2006,$1.24,95%,
3310,2006,$1.24,93%,
3320,2006,$1.24,96%,
3330,2006,$0.99,94%,
3340,2006,$1.24,77%,
3350,2006,$1.24,87%,
3360,2006,$1.24,90%,
3380,2006,$1.24,94%,
3390,2006,$1.24,96%,
3400,2006,,89%,
3410,2006,$1.24,80%,
3430,2006,$1.24,96%,
3440,2006,,95%,
3450,2006,$0.99,82%,
3460,2006,$1.24,,
3480,2007,$1.24,96%,
3483,2007,,93%,
3490,2007,,,
3500,2007,$0.99,,
3510,2007,$1.24,79%,
3520,2008,$0.99,,
3530,2008,$1.24,81%,
3540,2008,$1.24,94%,76%
3560,2008,$1.24,82%,78%
3570,2009,$1.24,,
3580,2008,$0.99,,
3590,2009,$1.99,97%,87%
3600,2009,$1.24,66%,
3610,2009,$1.24,,
3620,2009,$0.99,94%,78%
3700,2005,$1.59,76%,76%
3710,2005,$1.99,87%,55%
3720,2004,$2.49,94%,75%
3730,2000,$1.24,87%,
3800,2005,$6.49,78%,70%
3810,2003,,78%,65%
3820,2005,,72%,67%
3830,2005,$2.49,95%,87%
3900,2005,$5.99,92%,94%
3910,2001,$1.24,89%,90%
3920,2005,$2.49,94%,88%
3960,2006,$1.24,50%,67%
3980,2006,$2.49,72%,67%
3990,2006,$4.99,91%,84%
4000,2006,$3.99,96%,
4100,2006,$9.99,,
4230,2006,$19.99,72%,
4290,2007,$4.99,,
4300,2006,$9.99,74%,80%
4330,,,,
4420,2007,$1.49,59%,62%
4460,2008,$2.49,74%,
4460,2008,$2.49,74%,
4470,2008,$2.99,69%,
4500,2007,$5.99,94%,82%
4520,2004,$2.49,66%,80%
4530,2006,$2.49,70%,70%
4560,2006,$3.99,93%,93%
4570,2007,$3.24,95%,86%
4580,2007,$3.24,96%,87%
4700,2006,$6.24,95%,
4720,2006,$3.73,86%,78%
4760,2004,,94%,92%
4770,2006,,74%,79%
4780,2007,$6.24,94%,85%
4800,2006,$2.99,85%,65%
4850,2002,$1.24,88%,60%
4870,2002,$1.24,81%,
4880,2001,$1.24,72%,74%
4890,2006,$1.24,77%,69%
4900,2006,,88%,
4920,2012,$1.99,85%,80%
6000,2009,$3.49,95%,78%
6010,2009,$2.09,94%,
6020,2009,$3.49,96%,81%
6030,2009,$3.49,91%,89%
6040,2009,$2.09,91%,
6060,2009,$3.49,94%,78%
6080,2009,$3.49,92%,70%
6090,2009,$2.09,91%,78%
6120,2010,$2.49,89%,67%
6200,2006,$0.74,88%,81%
6210,2006,$0.74,74%,
