,appid,name,developer,publisher,positive,negative,average_playtime_from_2009,initialprice,languages,genre,release_year,Korean,indie,discount,positive_ratio,price_group
0,10,Counter-Strike,Valve,Valve,189960,4864,162.0,11798,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,2000,1,0,0,0.9750338767297664,만원~2만원
1,20,Team Fortress Classic,Valve,Valve,5287,877,43.0,5893,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,1999,1,0,0,0.8577222582738482,만원이하
2,30,Day of Defeat,Valve,Valve,4918,544,77.0,5893,"English, French, German, Italian, Spanish - Spain",Action,2003,0,0,0,0.90040278286342,만원이하
3,40,Deathmatch Classic,Valve,Valve,1808,405,50.0,5893,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,2001,1,0,0,0.8169905106190691,만원이하
4,50,Half-Life: Opposing Force,Gearbox Software,Valve,12658,649,33.0,5893,"English, French, German, Korean",Action,1999,1,0,0,0.9512286766363568,만원이하
5,60,Ricochet,Valve,Valve,3608,825,50.0,5893,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,2000,1,0,0,0.8138957816377171,만원이하
6,70,Half-Life,Valve,Valve,66027,2370,15.0,11798,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,1998,1,0,0,0.9653493574279574,만원~2만원
7,80,Counter-Strike: Condition Zero,Valve,Valve,18342,1781,21.0,11798,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,2004,1,0,0,0.9114943099935398,만원~2만원
8,130,Half-Life: Blue Shift,Gearbox Software,Valve,9029,873,35.0,5893,"English, French, German",Action,2001,0,0,0,0.9118359927287417,만원이하
9,220,Half-Life 2,Valve,Valve,130640,3511,17.0,11798,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,2004,1,0,0,0.97382799979128,만원~2만원
10,240,Counter-Strike: Source,Valve,Valve,126838,5058,93.0,11798,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,2004,1,0,0,0.9616516042942925,만원~2만원
11,280,Half-Life: Source,Valve,Valve,7515,2685,7.0,11798,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,2004,1,0,0,0.736764705882353,만원~2만원
12,300,Day of Defeat: Source,Valve,Valve,15427,1542,20.0,11798,English,Action,2010,0,0,0,0.9091284106311509,만원~2만원
13,320,Half-Life 2: Deathmatch,Valve,Valve,9092,1003,10.0,5893,English,Action,2004,0,0,0,0.9006438831104507,만원이하
14,360,Half-Life Deathmatch: Source,Valve,Valve,2273,752,22.0,11798,English,Action,2006,0,0,0,0.751404958677686,만원~2만원
15,380,Half-Life 2: Episode One,Valve,Valve,18161,868,9.0,9436,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,2006,1,0,0,0.9543854117399758,만원이하
16,400,Portal,Valve,Valve,96559,1563,7.0,11798,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean",Action,2007,1,0,0,0.9840708505737755,만원~2만원
